,Avatar (2009),"Lion King, The (1994)","Fast and the Furious, The (2001)",Toy Story (1995),Jurassic Park (1993),Twilight (2008),Pride & Prejudice (2005),"Notebook, The (2004)",17 Again (2009),"Twilight Saga: Eclipse, The (2010)",Aladdin (1992),Beauty and the Beast (1991),Mrs. Doubtfire (1993),Toy Story 2 (1999),"Hangover, The (2009)",Harry Potter and the Goblet of Fire (2005),Total
"Incredibles, The (2004)",1.630669085833621,1.3643356228710815,1.0522922263513097,1.4323890607207233,0.6652102412533705,0.6807592783398217,0.7539031307095367,0.44802387527602233,0.7752199176194913,0.3254665622082365,0.9222552790976395,0.6450596897061485,0.6044592680350873,1.861444271946546,0.7907419822465744,0.8919932379755114,14.844222730190722
"Bug's Life, A (1998)",0.6544050004039292,1.4555458171527422,1.0411829834088278,1.7271553091813674,1.3156228199602553,0.2031331733013235,0.42432578181784936,0.29014595633914214,0.5884808648993376,0.18693727429359816,1.5777584727596001,0.9357404795474882,0.6986655873811812,2.7757624022245997,0.3835664843593547,0.549376226263881,14.807804633294477
"Truman Show, The (1998)",1.0030439099909976,1.3841861866375083,1.3195640066649248,1.4648490302332207,0.9617351980946509,0.4807878056392336,0.7442160968779774,0.39260105234348563,0.9287946784869836,0.23006558236165298,1.1378826919762381,0.7294039173540223,0.7563510981861361,1.9063353885219199,0.6742551075461282,0.6588543047223524,14.772926055637434
Mary Poppins (1964),0.5676165869776141,1.403482719542605,0.7210231258754468,1.475145909244653,0.838353456041833,0.5330225827875974,0.8173171933211244,0.4369802340630845,0.747313090632863,0.5295287237103676,1.4247919575668422,1.408769379337959,1.0375000888890722,1.882658692632674,0.31513123039634455,0.6210517631175116,14.759686734137592
"Emperor's New Groove, The (2000)",1.020104648462538,1.1922527443003128,0.8507437907956268,0.8737247449909736,0.6720198363604355,0.8236310885957855,0.7867009389756471,0.7554268386608788,1.272886492879133,0.48410207701927926,1.2207985598800881,1.1458046981943744,0.4582949512645538,2.0477073135835018,0.518353238308762,0.6202331171923694,14.74278507946426
Holes (2003),0.9283389068989204,1.2877836760878902,0.7453118494745656,0.9711516519811412,0.6729491019925079,0.6871769220783238,1.029601524471285,0.5501890486257134,1.3636627459524386,0.5240937239496085,1.2301918268003127,1.157017274988738,0.7010183572702466,1.6405364431604073,0.5656497833548978,0.6617231649356491,14.716396002022647
Love Actually (2003),1.0770865821324647,0.951688763302171,0.6425487197279625,0.8468581686948713,0.2788837260571197,1.494919716317136,1.4121699975272695,1.1700804824187656,1.5647970893751726,0.4004727304432281,0.9181110511955268,0.7815909529482715,0.6305285719553824,1.0599613130106746,0.6499765224043441,0.7797159246873013,14.659390312197662
How the Grinch Stole Christmas (a.k.a. The Grinch) (2000),0.6860140156853364,1.2511223151324178,0.9137726944211029,1.065827066270353,0.7298259228622173,0.980215549020055,0.8861415479248275,0.602824572453162,0.9709880226538169,0.6203321540602091,1.2136717376931112,1.231656764554791,0.7562541590689733,1.319036218291585,0.6572403180855043,0.6898326820481144,14.574755740225578
"Da Vinci Code, The (2006)",1.2284376877526297,1.429980650361243,0.8625137858716244,0.6433529747042249,0.5858288413963827,1.030916630366011,0.7873197704539637,0.6811748031847628,1.3280563387559976,0.47007029108825704,0.8967933568359887,0.7544163159499045,0.8505864912396599,1.225213099064764,0.8439895165248535,0.9543965681256487,14.573047121675916
Pretty Woman (1990),0.2223778978917016,2.0678433793162374,0.3592240238272608,0.937660985447148,1.7768962787981795,0.3019319953200846,0.5810023411145266,0.7260797741102524,0.462928113740503,0.4083737792838637,1.8562044978700154,1.5821274041064035,1.6868355777396102,0.969790035472975,0.2160804377094978,0.39421258714985463,14.549569108898114
Peter Pan (1953),0.6877943929076571,1.435460783150936,0.715800722994575,1.2973918661750545,0.8491877437375356,0.5079842894440478,0.8976947760189669,0.40661621301629347,0.854701677997159,0.39302226944526825,1.2847656612319245,1.3814396491265646,0.7828585444069003,1.9082413247862748,0.5649501819860219,0.5572807748792721,14.525190871304451
Miss Congeniality (2000),0.886235998714197,1.112769460492232,1.2938375559896653,0.8966035665432699,0.6800966028548526,0.8803737520839943,0.7306617617517172,0.8740692538635209,1.020720956137775,0.5717036843344219,1.1621126409399285,0.9446541907734315,0.7384354652771786,1.393259432529759,0.5413702883838327,0.7560882832316415,14.482992893901418
Remember the Titans (2000),0.8207032454656567,0.8902469213258891,1.2226019367639365,1.054812792267048,0.7649193629076745,0.8960866220081546,1.028636508474724,0.47696273554397667,1.2990288219217243,0.47624268238802603,0.8216651587859001,0.7743071978407121,0.8853672237760835,1.8531452558863835,0.5950399344939293,0.6200855506936275,14.479851950543447
"Goonies, The (1985)",0.941684121526855,1.3161539014527404,0.7647709076959442,1.2428484643700748,0.9734335911446146,0.5296031935632602,0.8041792832090309,0.38695483872334324,0.9814697889771018,0.37638534169505916,1.175488648886798,0.9399113446044898,0.8788948396019625,1.8975877711894538,0.5689920927378103,0.653888581140108,14.432246710518646
Harry Potter and the Prisoner of Azkaban (2004),1.4587541524826166,1.1585684544352466,0.9535992859640994,0.9534401504832486,0.5271490255538855,0.7274845020254517,0.9183497008218307,0.5438061374147156,0.5020620450570972,0.3654731017983148,1.283768479032967,0.8405047648532654,0.6800660571308109,1.4918408070534181,0.5603818492510835,1.4301736706184534,14.395422183976505
Elf (2003),1.0991635486758282,0.9754961848063006,1.0843629654617604,1.145546962062975,0.9037811156596496,0.746340073740076,0.5959377574106004,0.7998032144890198,1.1040532489645807,0.4633946560172343,1.08870655859515,0.8275422016081209,0.7020279466030075,1.4669150025753583,0.7487044812972334,0.6250178808455715,14.376793798812468
Knocked Up (2007),1.340943924219189,0.9794893766690602,1.0102975302438197,0.7350879497643521,0.6238088615662178,1.0059545570362596,0.8889691142555376,0.8535465150641074,1.4953050388553497,0.36087931700269016,0.9463063825281964,0.5861586120199237,0.7470289754774422,1.1918997483465559,0.916256224204509,0.6935869818421158,14.375519109095327
Ocean's Eleven (2001),1.5595033926600916,1.1217813811705886,1.3134137793774863,0.8684157947246901,0.7931651490109001,0.6526382703011003,0.7313664284387833,0.6611325283500832,0.8934540656890768,0.2928471391238104,0.96065093644619,0.6263948493069009,0.6726799416926984,1.5587722279062515,0.8600990623298111,0.7840337359622728,14.350348682490736
"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)",1.4557336330342778,1.2440101540796293,1.0141785989718701,0.8679565109110505,0.6535608487826543,0.9150390299038894,0.929676205091101,0.4850603573382908,0.8449475884788207,0.46097399236270986,1.1411278821638602,0.8452572231182618,0.6428013167642787,1.1361158247097527,0.5114401001490987,1.1996366961874068,14.347515962046952
School of Rock (2003),1.0379831402831265,1.0558695259207362,1.2143750414269134,1.1823833659078145,0.866632707916257,0.7141384277023656,0.6231391383878169,0.5193630757139241,1.0911108310235202,0.4703627014217592,0.8901222428560978,0.5891287743777265,0.8645648689534502,1.6601184980282846,0.7180581063104122,0.8454649924383073,14.342815438668513
Zoolander (2001),0.9927066017045605,1.2592343305361458,1.3077101783187322,1.1445645439284293,1.071148417794444,0.6000240376214527,0.5291533680075533,0.7113646889711431,0.639360846974317,0.36430062852610373,1.1391855258505243,0.8020197408000828,0.8107455867597153,1.544540074093329,0.7883468865290773,0.6201173746590766,14.324522831074686
Catch Me If You Can (2002),1.6576756497854577,1.3003452610938662,1.358098774432247,0.8252739017755066,0.6920528406828682,0.7293652597783766,0.6096372428128322,0.6428274995091307,0.7911893080898679,0.29789097878374715,0.9146646144483871,0.6412898096354137,0.7127384289009465,1.487921780668324,0.9217942247343109,0.720516489571986,14.303282064703268
"Blind Side, The  (2009)",1.3128542066731455,0.9302424465804594,0.714698298269125,0.8862537793187362,0.5029235564316353,1.3373700530654025,0.904426302980223,1.0733040223826182,1.7179031315810767,0.893670469636049,0.5300050728169496,0.6526065461770701,0.40850736513619273,1.0548450186824263,0.7517810900649929,0.5958698631234961,14.2672612229196
Ice Age (2002),1.3196684340854938,1.5653335125208883,1.2927585016764833,1.122157179711658,0.8773256105419336,0.4056500416671816,0.5602470395893635,0.3605168264678566,0.3789537348906139,0.24461850632795315,1.3434359719345366,0.9024222934667993,0.6623229763919178,1.6500270282143414,0.6258580128127048,0.9087398080059075,14.220035478305634
Daredevil (2003),1.0006862531066192,1.1153282965722766,1.1992545327209774,1.0586940817907435,0.7540614477055118,0.79350361152316,0.8626264309113262,0.46244368949749864,0.9399302721634581,0.3204499933889792,1.143541486594952,0.9520965475220527,0.610740516334799,1.7421256208683298,0.4758517289667279,0.587812119902282,14.019146629569693
Mean Girls (2004),0.818449704055911,0.7618181223152138,0.7383533926515639,0.7036433497813644,0.45809371808163035,1.205378527616008,1.2455391982862438,0.8872681469656525,1.8890064406117237,0.6578592991951245,0.7658750076132546,0.6852530260089527,0.5997394707224086,1.188140601123311,0.6617879453532289,0.7433276256563529,14.009533576037944
What Women Want (2000),0.9459506391570167,1.0574145626469371,1.2045720916141063,0.8498720778893143,0.5087166979544208,1.0329377932120445,0.9800331855635394,1.034794187527809,1.1307368614941486,0.31208687573679156,1.088344646294207,0.8317930710773083,0.6396087936068617,1.1672727628583985,0.44596151933481293,0.7596781740096693,13.989773939977386
"Holiday, The (2006)",0.844329410452251,0.8603396431162282,0.3663377138238071,0.3835473489659632,0.27328470764130464,1.319904250378633,1.223699420142938,1.1743178343053002,2.003301866360935,1.1245841965903969,0.9341339254991775,0.8466066079841935,0.6038210735682727,0.7706198101453845,0.5339810081874884,0.6922375964986095,13.955046413660884
Signs (2002),1.056302693846246,1.3736770373008567,1.088853927223687,1.0334663143020943,1.2067391622969537,0.2969873615659847,0.5904328915335795,0.5479140170166075,0.4772370000354808,0.30878176958221104,1.094558231452665,0.9126336567574325,0.7288201841166566,1.88002577326824,0.6314455193625456,0.7189403356691799,13.94681587533042
Charlie and the Chocolate Factory (2005),1.36776708824188,1.2014148697783968,0.7353920696323681,0.9611321647574632,0.8124708664123049,0.7139210966411711,0.6467913776996815,0.7521267760774567,0.6404842704279934,0.3003692507200219,1.092608083255827,0.9148801042105746,0.7904080608086704,1.3025352270895685,0.6184635055112233,1.082386916664359,13.93315172792896
"Nightmare Before Christmas, The (1993)",0.6671082963530645,1.7468041787855526,0.6938375702926284,1.1850603064327756,1.266356320562054,0.41899194080038127,0.5765172232528034,0.5450143055254997,0.6337280275566776,0.2917351810993333,1.5209672327499724,1.2310687010651187,1.1016422295459454,1.180296018483085,0.36575125421083265,0.4741982319811875,13.899077018696913
Fantastic Four (2005),1.3920862939379273,0.9192604616781631,1.471489453864651,0.9160846889677583,0.5584595297727557,0.958757392370266,0.8795179084592144,0.5904898046203656,0.7765310970483188,0.18916838784221773,1.1727858608002255,0.5654544798532042,0.506245241392772,1.3994575812843582,0.6903940134505601,0.8902480985894289,13.876430293932188
Lemony Snicket's A Series of Unfortunate Events (2004),1.2223722057819246,0.8320957247722651,0.9556922628234885,0.6568009219585992,0.6180693954047654,1.0229798142641382,1.00349391132398,0.8677631529005664,1.075754212341618,0.6778278412859465,0.742915895397662,0.6520314352217234,0.5340120401123908,1.4696158817154128,0.6419753086058474,0.8864983042023669,13.859898308112694
Atlantis: The Lost Empire (2001),0.882267169876717,1.2214994342054417,1.130008322845932,1.0018150375201837,0.46625667288394823,0.7673788772163033,1.1285241097041183,0.4468056363859474,1.1244028374309694,0.2458319916188442,1.1388462041523049,0.9051472564920549,0.49637691618331864,1.7787595633937527,0.3540963021044567,0.7693617968043505,13.857378128818644
Anchorman: The Legend of Ron Burgundy (2004),1.2788274198816143,0.9167988832239495,1.0003606408473986,0.7682594984604532,0.6825002998945748,0.9461860585870957,0.6046765129620706,0.7519742640744633,1.3607936100248483,0.4298370672814853,0.8244618035987441,0.6186806321662702,0.7363827786483544,1.1723025164859326,1.005413920429043,0.7570096636794198,13.854465570245718
X-Men: The Last Stand (2006),1.2930357737513063,1.1079012123556478,1.4081075229812359,1.0316613910726395,0.8008719450687847,0.6757137638133485,0.6861631770473325,0.2945742043980339,0.8389801007944235,0.2346143752045012,1.2205911480558878,0.5555857635176046,0.5482433860033447,1.7198603660714817,0.5899040676268413,0.814937564370019,13.820745762132432
Toy Story 3 (2010),1.729981890039363,1.038890757243431,0.7348009388633115,1.578983577323715,0.46856047941850537,0.5539086042401241,0.6709432637159121,0.7594258937269986,1.2991882854783519,0.2904044358668731,0.6393669252362745,0.45882238504041906,0.44167658137433496,1.7659567187334522,0.8530933479224239,0.5199604388385338,13.803964523062024
Pirates of the Caribbean: At World's End (2007),1.7733037716317834,1.0203537177210782,0.9709380626608134,0.9820517402518332,0.6052021826754407,0.7920031452269799,0.7059501112403805,0.5531502573913001,0.8924372503591794,0.47864254012718754,0.8870185014797074,0.6714143259991254,0.6396317700816757,1.0530006237867866,0.8035838271840501,0.9447082136163218,13.773390041433643
Cinderella (1950),0.6273198552146183,1.6027920975720584,0.5741688891582317,1.1048470295925712,0.7991289453159774,0.5053577462994221,0.9407241916565765,0.4072517547777741,0.8127469145954679,0.16988829368556543,1.3701828688297002,1.4972103438113205,0.7546944699884797,1.6540823995478358,0.44948192206137055,0.4767231309203424,13.746600853027312
"Wizard of Oz, The (1939)",0.48706766981690863,1.1043399546282149,0.888245404773301,1.410390874078831,1.178162930584916,0.4159380968352151,0.6611706949632399,0.3704630087816482,0.8404058028954786,0.32210755992387424,1.4632182548310302,1.1897621883226703,0.8341239070126059,1.7384873505107161,0.3982587035385894,0.44223882137141607,13.744381222868654
"Village, The (2004)",0.879558811393536,1.2081287852237206,1.406157577968276,0.8978987536479415,0.8678945900112482,0.7260878452641196,0.6749216995601672,0.6841311367392451,0.7342466285409799,0.24429824557310434,1.1052806082060775,0.8471809215403151,0.8328879856984915,1.479595908178988,0.5804244137282147,0.5612225026055668,13.729916413879993
Men in Black (a.k.a. MIB) (1997),0.8975018308980646,1.3930938778085735,1.1565471901925242,1.5432843166973167,1.5497906603430136,0.2765398646431304,0.3591800878688046,0.2712920980572067,0.23036600537894952,0.20575282929887634,1.427604776385133,0.7221678616440448,0.8157398421277994,2.009818432177592,0.3970656704780888,0.47341400745756845,13.729159351456687
King Kong (2005),1.3920553363722854,1.2144442038659966,1.1194085721795806,0.9959149344384519,0.8988560320001794,0.4783669512976738,0.532547834960406,0.4644057285890376,0.8796788726787248,0.45031356750494667,0.8532543215227533,0.644857251833469,0.6818590978607943,1.7032642969329785,0.6462793403270426,0.7717418156401926,13.727248158004514
Hitch (2005),1.2521859758304577,0.7141184824410268,1.4833228671261482,0.4917336473643983,0.27187756888091985,1.2256686915671717,0.9600051011125883,0.9528596920938426,1.4829556461980702,0.5931436739807283,0.9169292492050733,0.53212228546858,0.5643559670642044,0.7162265455805994,0.7765362175544223,0.7866845702967171,13.720726181764949
"Incredible Hulk, The (2008)",1.6747883148152678,1.140533196398088,1.1895014874228493,1.1025436010826317,0.8831943633075806,0.751882308029237,0.5982008441918011,0.3482630989995354,0.7561661654756919,0.172983686361791,0.7513178769634278,0.6623539179685441,0.52962745503998,1.597477487356806,0.7659800524056073,0.7259765519716039,13.650790407790442
Napoleon Dynamite (2004),1.011551315966197,0.9974410931519618,0.9043616951575644,1.1104403972158123,0.960797464486957,0.7573717194174852,0.8599180634902344,0.5738628887159712,1.2156087917983673,0.45731037022017906,0.8227798374943593,0.7958341790509315,0.6934899080248038,0.9687478992671994,0.6637811967698954,0.8316257011384002,13.624922521366319
Forrest Gump (1994),0.8581116600022624,1.7907062768417283,0.6332507423337135,1.1406356719937443,2.041345564679904,0.3406296798207146,0.26897332528691326,0.21083025843161896,0.3493787369089629,0.20204798729421955,1.4674289290152358,1.0608508466064452,1.3213804123624793,0.9980606424982709,0.5189311077727137,0.41944200967587597,13.622003851524802
Mulan (1998),0.4831800436507663,1.545051767640972,0.5165160670872124,0.870094256892505,0.6230930107892987,0.6799284234774399,0.663788933525988,0.6098971708203536,0.9479729222391126,0.480255657507371,1.6486884426937234,1.2816167643740428,0.503722328999219,1.9311323442453903,0.2726547999880192,0.5173358286048356,13.57492876253625
Transformers (2007),0.9811959613511626,1.3582390902953692,1.0944344021120176,1.198174578205578,0.9749510515489017,0.40512814275600767,0.34589639615178586,0.2708256544005687,1.1755545010781008,0.2216159773925484,1.224765323150383,0.783510904280813,0.6832752216131668,1.6385204823942452,0.6458713991821093,0.5286397718118323,13.530598857724591
Sherlock Holmes (2009),1.9985597461274387,0.8955571395333815,1.046121958681809,0.8691174417750723,0.4703901079878259,0.8956604401399103,0.43567054475995304,0.9478491022868172,1.1256332179567934,0.476328716243571,0.6614430398268529,0.385028472688228,0.4410079598796417,1.0322924033270664,1.0484146251093618,0.798774238491725,13.527849154815447
Van Helsing (2004),1.5589310477779228,0.8797958403691555,1.3062554800653854,0.7987299041957305,0.6353561783600171,0.8858240991253706,0.5763765515041002,0.4742494732542232,1.4271112371543753,0.4255569971681463,0.6061268803644135,0.6620236648870816,0.5923568693114889,1.3605609776640206,0.6454419194864862,0.6832847578522583,13.517981878540176
Spider-Man 2 (2004),1.2243215214010628,0.965111089803937,1.2505578056817244,1.1954243880744544,0.854383574674745,0.5463698826416582,0.7304134218605379,0.5460192248639728,0.5111458076751332,0.2911044841039204,1.0101281923230185,0.6763309688960477,0.5220472696313628,1.760274649678858,0.5041279764372266,0.8527106389927637,13.440470896740424
Groundhog Day (1993),0.9572588529808234,1.0062331058945349,0.9190643207769068,1.807698599358635,1.21651795032635,0.43608002632014803,0.4004937850608179,0.39708443029245133,0.5611710173823063,0.06860387686458516,1.306109608353372,0.7942258066389108,0.6628876998508769,1.8154844847357454,0.546659725592892,0.5439472842371597,13.439520574666517
Ratatouille (2007),1.8990835038437623,1.200396776066144,1.0244974558296622,1.0636911985734936,0.42587065589216794,0.7696840814916817,0.6453122345683795,0.5736844162244538,0.5365342009121938,0.27968490866762374,1.0315281907369316,0.5687262344138103,0.4568737654604045,1.32664430389166,0.8732901700742041,0.7504791305124864,13.42598122715906
National Treasure (2004),1.223001317959817,1.128468037567414,0.9297563477799161,0.8170887060448394,0.6778136740566127,0.5857559275512589,0.523589793399242,0.7567081472675958,1.1466406716844577,0.5188900514228683,1.0180358028358352,0.7516157273514821,0.7008701430263323,1.217496361429963,0.5932901179905438,0.8099888666977574,13.399009694065935
Harry Potter and the Order of the Phoenix (2007),1.6061788670634094,0.937288845264635,0.8551527575813687,0.6680763059724191,0.4171773198444008,0.8564163584438377,1.0516502109544736,0.7125247085693445,0.5360000641661745,0.41647284391063566,1.0522530570645383,0.5978321722481394,0.5432641700640002,1.070011306284833,0.5985925359500789,1.475506478258938,13.394398001641227
"Boondock Saints, The (2000)",1.1018568130096313,1.2871907790553663,1.3387733274119262,0.9138339628150992,0.9144205507197647,0.6397626430982557,0.41032533015764594,0.41924821095215103,1.099284804847927,0.16829128601779508,1.1071418814735468,0.7888168522177705,0.5687484355239165,1.3280422492250488,0.6647923590554408,0.63581302579616,13.386342511377446
Legally Blonde (2001),0.9357858048585773,0.7173566721789554,0.623714573262876,0.7817445868439994,0.43513971500552884,0.9091122298590703,1.053233997767025,1.2172789062603147,1.2948712178700315,0.663576784248721,1.0151516049511,0.656088093761889,0.6325327997117985,1.0927529278495152,0.5972427993509011,0.7053413927723762,13.33092410655268
Pocahontas (1995),0.35924022002942113,2.05595279023043,0.45674512488772384,0.8842370116640643,0.9746529206640795,0.2678844948849811,0.48413110341549637,0.5068398971265856,0.6515290339888602,0.42005432392524594,1.8394958763346003,1.7262373375677382,0.9690850596605916,1.0031319452616754,0.2913842778203313,0.4272492625895725,13.317850680051396
"Knight's Tale, A (2001)",0.956178282649939,1.2011672718456694,1.5730761676936469,0.8438141391074012,0.7805116794041693,0.49767386747069037,0.6425198583361673,0.6014099184925897,0.549134073434308,0.38960402165597696,1.0333776796074463,0.9359183046057707,0.625926381420335,1.4415437135989575,0.5693082678382007,0.6291837533327654,13.270347380494034
Ace Ventura: When Nature Calls (1995),0.6725283835096457,1.8758721166286763,1.0511387686208373,1.1689529292798453,1.3698048549148214,0.2644228712934672,0.373690466044555,0.22456014352518064,0.338120178231868,0.2770056794594453,1.4434716445175266,0.945055589447852,1.138340799325161,1.0958206069596141,0.43746536451751805,0.5582694352912307,13.234519831567244
Armageddon (1998),0.8084724006602887,1.2900761033989916,0.9884630353962118,1.299424341391593,1.3077462570982712,0.5987783838613762,0.33913153703886156,0.5097376019554336,0.6421479185239642,0.18094313441760923,1.217470328743296,0.7425429065086369,0.6476516496574958,1.7329969142234152,0.4357384770884971,0.4764570473077193,13.21777803727166
Ferris Bueller's Day Off (1986),0.8514064587373468,0.9187307576048215,1.1700807000044093,1.4778296271993399,1.102843780117626,0.400734206683608,0.48112337109041603,0.26787762182165986,0.7481577962206986,0.3125587296762244,1.0458011317156375,0.7321156055920008,0.914587501282388,1.6902240879533124,0.5875209428132989,0.5070020102235441,13.208594328736332
"Jungle Book, The (1967)",0.5110503631512887,1.6159925523436915,0.7431122692275312,1.4002070560047029,0.7333721306608472,0.35917212978043234,0.5299162457171562,0.341837949011178,0.4903215555048246,0.29433958778928915,1.6442919677224663,1.3366565825323398,0.8639839625897758,1.3433563945217326,0.4211140291074,0.5777249673154483,13.206449742980105
"Honey, I Shrunk the Kids (1989)",0.4887759429881895,1.1559155911879528,0.7827560482755749,1.6425102491376369,1.3490956240759346,0.275781939361786,0.535706924534499,0.38738220874058804,0.5069597689176972,0.2577565805660578,1.3521306232045085,0.7895756642162327,0.8506637791636977,1.9187813653294548,0.3195466341777334,0.5856637874758002,13.199002731353344
